bench,class,tool,tool_version,variant,mode,period_ns,timing_status,wns_ns,wns_reg2reg_ns,timing_basis,data_path_ns,critical_endpoint,num_cells,num_seq,retime_named_regs,area_um2,routed_wirelength_um,postroute_wns_ns,achieved_density_pct,path_route_share_pct,path_cell_delay_ns,path_net_delay_ns,max_route_layer,place_blockage_frac,power_mw,power_switching_mw,power_register_mw,power_logic_mw,power_clock_mw,power_sequential_mw,power_combinational_mw,power_mode,num_lut,num_ff,runtime_total_s,wall_seconds,sdc_sha1,git_commit
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,directive,unsupported,8.0,VIOLATED,-7.1327,,,14.8155,,249,32,,,,,,,,,,,7.33302,1.9143299999999999,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,directive,unsupported,10.4,VIOLATED,-4.7327,,,14.8155,,249,32,,,,,,,,,,,5.64079,1.4725599999999999,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,orig,unsupported,3.6,VIOLATED,-11.5327,,,14.8155,,249,32,,,,,,,,,,,16.2955,4.2540700000000005,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,orig,unsupported,4.8,VIOLATED,-10.3327,,,14.8155,,249,32,,,,,,,,,,,12.2217,3.19055,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,orig,unsupported,6.4,VIOLATED,-8.7327,,,14.8155,,249,32,,,,,,,,,,,9.166260000000001,2.3929099999999996,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,orig,unsupported,8.0,VIOLATED,-7.1327,,,14.8155,,249,32,,,,,,,,,,,7.33302,1.9143299999999999,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,orig,unsupported,10.4,VIOLATED,-4.7327,,,14.8155,,249,32,,,,,,,,,,,5.64079,1.4725599999999999,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,retimed,unsupported,3.6,VIOLATED,-5.0739,,,8.3294,,238,32,,,,,,,,,,,14.666699999999999,3.76355,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,retimed,unsupported,4.8,VIOLATED,-3.8739,,,8.3294,,238,32,,,,,,,,,,,11.0001,2.82266,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,retimed,unsupported,6.4,VIOLATED,-2.2739,,,8.3294,,238,32,,,,,,,,,,,8.25005,2.117,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,retimed,unsupported,8.0,VIOLATED,-0.6739,,,8.3294,,238,32,,,,,,,,,,,6.6000499999999995,1.6936,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,openroad_syn,,retimed,unsupported,10.4,MET,1.7261,,,8.3294,,238,32,,,,,,,,,,,5.07697,1.30277,,,,,,vectorless,,,0,1.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,directive,on,5.2,VIOLATED,-2.845,-2.845,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,125.0,,,,,,,vectorless,84,32,29,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,directive,on,6.4,VIOLATED,-1.64,-1.64,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,119.0,,,,,,,vectorless,84,32,29,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,directive,on,8.0,VIOLATED,-0.179,-0.179,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,113.0,,,,,,,vectorless,84,32,28,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,directive,on,9.6,MET,0.972,0.972,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,109.0,,,,,,,vectorless,84,32,29,40.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,directive,on,12.0,MET,2.698,2.698,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,105.0,,,,,,,vectorless,84,32,28,39.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,off,5.2,VIOLATED,-2.845,-2.845,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,125.0,,,,,,,vectorless,84,32,28,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,off,6.4,VIOLATED,-1.64,-1.64,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,119.0,,,,,,,vectorless,84,32,30,42.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,off,8.0,VIOLATED,-0.179,-0.179,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,113.0,,,,,,,vectorless,84,32,29,39.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,off,9.6,MET,0.972,0.972,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,109.0,,,,,,,vectorless,84,32,30,41.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,off,12.0,MET,2.698,2.698,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,105.0,,,,,,,vectorless,84,32,27,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,on,5.2,VIOLATED,-2.845,-2.845,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,125.0,,,,,,,vectorless,84,32,29,42.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,on,6.4,VIOLATED,-1.64,-1.64,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,119.0,,,,,,,vectorless,84,32,29,42.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,on,8.0,VIOLATED,-0.179,-0.179,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,113.0,,,,,,,vectorless,84,32,28,36.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,on,9.6,MET,0.972,0.972,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,109.0,,,,,,,vectorless,84,32,28,36.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,orig,on,12.0,MET,2.698,2.698,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,105.0,,,,,,,vectorless,84,32,27,35.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,retimed,off,5.2,VIOLATED,-1.914,-1.914,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,125.0,,,,,,,vectorless,84,32,28,36.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,retimed,off,6.4,VIOLATED,-0.718,-0.718,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,119.0,,,,,,,vectorless,84,32,28,38.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,retimed,off,8.0,MET,0.069,0.069,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,113.0,,,,,,,vectorless,84,32,29,41.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,retimed,off,9.6,MET,1.285,1.285,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,109.0,,,,,,,vectorless,84,32,29,40.0,,
r01_reset_backward_barrier,A - reset / initial state,vivado,2023.1,retimed,off,12.0,MET,4.592,4.592,paths ending at a register (pad delay excluded),,,,,,,,,,,,,,,106.0,,,,,,,vectorless,84,32,27,34.0,,
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,off,8.0,VIOLATED,-3.1174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,9.17,2.96,,,,,,vectorless,,,1.0,2.0,,
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,on,3.6,VIOLATED,-3.0875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,17.9,6.6499999999999995,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,on,4.8,VIOLATED,-1.8875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,13.4,4.989999999999999,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,on,6.4,VIOLATED,-0.2875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,10.1,3.7399999999999998,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,on,8.0,MET,1.3125,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,8.059999999999999,2.99,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,directive,on,10.4,MET,3.7125,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,6.2,2.3,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,off,3.6,VIOLATED,-7.5174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,20.400000000000002,6.58,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,off,4.8,VIOLATED,-6.3174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,15.299999999999999,4.9399999999999995,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,off,6.4,VIOLATED,-4.7174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,11.5,3.7,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,off,8.0,VIOLATED,-3.1174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,9.17,2.96,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,off,10.4,VIOLATED,-0.7174,,,10.8166,_461_,303,24,,7070.112,,,,,,,,,7.05,2.28,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,on,3.6,VIOLATED,-3.0875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,17.9,6.6499999999999995,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,on,4.8,VIOLATED,-1.8875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,13.4,4.989999999999999,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,on,6.4,VIOLATED,-0.2875,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,10.1,3.7399999999999998,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
r01_reset_backward_barrier,A - reset / initial state,yosys,0.58,orig,on,8.0,MET,1.3125,,,6.384,_791_,327,24,,9884.0448,,,,,,,,,8.059999999999999,2.99,,,,,,vectorless,,,1.0,2.0,eae79ae3bec9,uncommitted
