bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,retimed,off,142.9,,7.0,5,2,804,70,15616.3392,,13.299999999999999,2.0
r05_fsm_high_fanout,"B/H - FSM fanout, register duplication",true,wirelength,yosys,retimed,on,142.9,yes,7.0,1,1,874,70,18994.752,,13.700000000000001,3.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,genus,directive,off,208.3,,4.8,5,3,1490,53,74953.14607475,,101.18,58.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,genus,orig,off,128.2,,7.8,5,1,1397,70,72695.756422,,60.8674,48.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,genus,orig,on,208.3,,4.8,5,3,1490,53,74953.14607475,,101.18,57.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,genus,retimed,off,128.2,,7.8,5,1,743,10,44604.70790425,,35.117599999999996,35.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,openroad_syn,directive,unsupported,,,,5,0,1369,70,,,530.054,2.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,openroad_syn,orig,unsupported,,,,5,0,1369,70,,,530.054,2.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,1235,10,,,699.0690000000001,2.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,vivado,directive,on,83.3,,12.0,5,1,234,70,,,98.0,39.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,vivado,orig,off,83.3,,12.0,5,1,234,70,,,98.0,41.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,vivado,orig,on,83.3,,12.0,5,1,234,70,,,98.0,38.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,vivado,retimed,off,104.2,,9.6,5,2,235,13,,,99.0,94.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,directive,off,,,,1,0,1091,70,30210.9696,,186.0,3.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,directive,on,,,,5,0,1161,70,41314.2912,,240.0,3.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,orig,off,,,,5,0,1091,70,30210.9696,,263.0,3.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,orig,on,,,,5,0,1161,70,41314.2912,,240.0,3.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,retimed,off,,,,5,0,1027,10,23496.48,,257.0,2.0
r06_fsm_high_fanin,B - FSM fanin,true,fmax,yosys,retimed,on,,,,1,0,1037,10,36287.5968,,104.0,4.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,genus,directive,off,208.3,,4.8,5,3,364,49,18846.55948275,,31.923199999999998,27.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,genus,orig,off,128.2,,7.8,5,1,405,38,19516.15478975,,20.0079,24.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,genus,orig,on,208.3,,4.8,5,3,364,49,18846.55948275,,31.923199999999998,27.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,genus,retimed,off,208.3,,4.8,5,3,367,38,18330.29173875,,27.645,17.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,openroad_syn,directive,unsupported,,,,5,0,279,38,,,25.6299,1.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,openroad_syn,orig,unsupported,,,,5,0,279,38,,,25.6299,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,282,38,,,20.4719,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,vivado,directive,on,83.3,,12.0,5,1,80,38,,,106.0,39.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,vivado,orig,off,83.3,,12.0,5,1,80,38,,,106.0,41.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,vivado,orig,on,83.3,,12.0,5,1,80,38,,,106.0,35.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,vivado,retimed,off,125.0,,8.0,5,3,80,38,,,113.0,37.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,directive,off,,,,1,0,342,38,8760.7296,,15.100000000000001,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,directive,on,128.2,,7.8,5,1,380,38,12720.5568,,11.799999999999999,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,orig,off,,,,5,0,342,38,8760.7296,,33.6,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,orig,on,128.2,,7.8,5,1,380,38,12720.5568,,11.799999999999999,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,retimed,off,128.2,,7.8,5,1,343,38,8453.088,,8.18,2.0
r08_fsm_output_decode,B - FSM output decode,true,fmax,yosys,retimed,on,166.7,yes,6.0,1,1,381,38,11777.8752,,13.6,2.0
r09_unbalanced_mult_pipe,C - classical unbalanced pipeline,true,fmax,genus,directive,off,333.3,,3.0,9,7,2359,240,120409.38609375,,289.688,76.0
